Subject,Sentence,Label
biology," 80 . Certain salts are referred to in physiology as electrolytes ( including sodium , potassium , and calcium ) , ions necessary for nerve impulse conduction , muscle contractions and water balance .","1"
biology," Many sports drinks and dietary supplements provide these ions to replace those lost from the body via sweating during exercise .","0"
biology," 83 . This occurs because the nucleus of the oxygen atom is more attractive to the electrons of the hydrogen atoms than the hydrogen nucleus is to the oxygen ’s electrons .","0"
biology," Thus oxygen has a higher electronegativity than hydrogen and the shared electrons spend more time in the vicinity of the oxygen nucleus than they do near the nucleus of the hydrogen atoms , giving the atoms of oxygen and hydrogen slightly negative and positive charges , respectively .","0"
biology," Another way of stating this is that the probability of finding a shared electron near an oxygen nucleus is more likely than finding it near a hydrogen nucleus .","0"
biology," 86 . Individual hydrogen bonds are weak and easily broken ; however , they occur in very large numbers in water and in organic polymers , creating a major force in combination .","0"
biology," Hydrogen bonds are also responsible for zipping together the DNA double helix .","0"
biology," Like hydrogen bonds , van der Waals interactions are weak attractions or interactions between molecules .","1"
biology," Van der Waals attractions can occur between any two or more molecules and are dependent on slight fluctuations of the electron densities , which are not always symmetrical around an atom .","0"
biology," 89 . Water ’s high heat capacity is a property caused by hydrogen bonding among water molecules .","0"
biology," Water has the highest specific heat capacity of any liquids .","0"
biology," Specific heat is defined as the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius .","1"
biology," 92 . Eventually , as water reaches its boiling point of 100 ° Celsius ( 212 ° Fahrenheit ) , the heat is able to break the hydrogen bonds between the water molecules , and the kinetic energy ( motion ) between the water molecules allows them to escape from the liquid as a gas .","0"
biology," Even when below its boiling point , water ’s individual molecules acquire enough energy from other water molecules such that some surface water molecules can escape and vaporize : this process is known as evaporation .","1"
biology," 95 . Before it overflows , the water forms a dome - like shape above the rim of the glass .","0"
biology," This water can stay above the glass because of the property of cohesion .","0"
biology," In cohesion , water molecules are attracted to each other ( because of hydrogen bonding ) , keeping the molecules together at the liquid - gas ( water - air ) interface , although there is no more room in the glass .","1"
biology," 98 . This is because the water molecules are attracted to the charged glass walls of the capillary more than they are to each other and therefore adhere to it .","1"
biology," This type of adhesion is called capillary action , and is illustrated in [ link ] .","0"
biology," 104 . Cells are made of many complex molecules called macromolecules , such as proteins , nucleic acids ( RNA and DNA ) , carbohydrates , and lipids .","0"
biology," The macromolecules are a subset of organic molecules ( any carbon - containing liquid , solid , or gas ) that are especially important for life .","1"
biology," The fundamental component for all of these macromolecules is carbon .","0"
biology," 107 . So far , the hydrocarbons we have discussed have been aliphatic hydrocarbons , which consist of linear chains of carbon atoms .","1"
biology," Another type of hydrocarbon , aromatic hydrocarbons , consists of closed rings of carbon atoms .","1"
biology," Ring structures are found in hydrocarbons , sometimes with the presence of double bonds , which can be seen by comparing the structure of cyclohexane to benzene in [ link ] .","0"
biology," 110 . Structural isomers ( like butane and isobutene shown in [ link ] a ) differ in the placement of their covalent bonds : both molecules have four carbons and ten hydrogens ( C4H10 ) , but the different arrangement of the atoms within the molecules leads to differences in their chemical properties .","0"
biology," For example , due to their different chemical properties , butane is suited for use as a fuel for cigarette lighters and torches , whereas isobutene is suited for use as a refrigerant and a propellant in spray cans .","0"
biology," Geometric isomers , on the other hand , have similar placements of their covalent bonds but differ in how these bonds are made to the surrounding atoms , especially in carbon - to - carbon double bonds .","0"
biology," In the simple molecule butene ( C4H8 ) , the two methyl groups ( CH3 ) can be on either side of the double covalent bond central to the molecule , as illustrated in [ link ] b .","0"
biology," 113 . This carbon backbone is formed by chains and/or rings of carbon atoms with the occasional substitution of an element such as nitrogen or oxygen .","0"
biology," Molecules with other elements in their carbon backbone are substituted hydrocarbons .","1"
biology," 116 . Most macromolecules are made from single subunits , or building blocks , called monomers .","1"
biology," The monomers combine with each other using covalent bonds to form larger molecules known as polymers .","1"
biology," In doing so , monomers release water molecules as byproducts .","0"
biology," 119 . Carbohydrates are , in fact , an essential part of our diet ; grains , fruits , and vegetables are all natural sources of carbohydrates .","0"
biology," Carbohydrates provide energy to the body , particularly through glucose , a simple sugar that is a component of starch and an ingredient in many staple foods .","0"
biology," Carbohydrates also have other important functions in humans , animals , and plants .","0"
biology," 122 . Disaccharides ( di- = “ two ” ) form when two monosaccharides undergo a dehydration reaction ( also known as a condensation reaction or dehydration synthesis ) .","1"
biology," During this process , the hydroxyl group of one monosaccharide combines with the hydrogen of another monosaccharide , releasing a molecule of water and forming a covalent bond .","0"
biology," 128 . Lipids include a diverse group of compounds that are largely nonpolar in nature .","0"
biology," This is because they are hydrocarbons that include mostly nonpolar carbon – carbon or carbon – hydrogen bonds .","0"
biology," 131 . When the hydrocarbon chain contains a double bond , the fatty acid is said to be unsaturated .","1"
biology," Oleic acid is an example of an unsaturated fatty acid ( [ link ] ) .","0"
biology," 134 . Wax covers the feathers of some aquatic birds and the leaf surfaces of some plants .","0"
biology," Because of the hydrophobic nature of waxes , they prevent water from sticking on the surface ( [ link ] ) .","1"
biology," 137 . Proteins are one of the most abundant organic molecules in living systems and have the most diverse range of functions of all macromolecules .","1"
biology," Proteins may be structural , regulatory , contractile , or protective ; they may serve in transport , storage , or membranes ; or they may be toxins or enzymes .","0"
biology," 140 . Protein shape is critical to its function , and this shape is maintained by many different types of chemical bonds .","0"
biology," Changes in temperature , pH , and exposure to chemicals may lead to permanent changes in the shape of the protein , leading to loss of function , known as denaturation .","1"
biology," All proteins are made up of different arrangements of the same 20 types of amino acids .","0"
biology," 143 . The unique sequence of amino acids in a polypeptide chain is its primary structure .","1"
biology," For example , the pancreatic hormone insulin has two polypeptide chains , A and B , and they are linked together by disulfide bonds .","0"
biology," 146 . The unique three - dimensional structure of a polypeptide is its tertiary structure ( [ link ] ) .","1"
biology," This structure is in part due to chemical interactions at work on the polypeptide chain .","0"
biology," 149 . Nucleic acids are the most important macromolecules for the continuity of life .","0"
biology," They carry the genetic blueprint of a cell and carry instructions for the functioning of the cell .","1"
biology," 155 . The primary structure of a purine is two carbon - nitrogen rings .","0"
biology," Cytosine , thymine , and uracil are classified as pyrimidines which have a single carbon - nitrogen ring as their primary structure ( [ link ] ) .","1"
biology," Each of these basic carbon - nitrogen rings has different functional groups attached to it .","0"
biology," 161 . To give you a sense of cell size , a typical human red blood cell is about eight millionths of a meter or eight micrometers ( abbreviated as eight μm ) in diameter ; the head of a pin of is about two thousandths of a meter ( two mm ) in diameter .","0"
biology," That means about 250 red blood cells could fit on the head of a pin .","0"
biology," Most student microscopes are classified as light microscopes ( [ link ] a ) .","0"
biology," Visible light passes and is bent through the lens system to enable the user to see the specimen .","1"
biology," 167 . Like prokaryotes , eukaryotic cells have a plasma membrane ( [ link ] ) , a phospholipid bilayer with embedded proteins that separates the internal contents of the cell from its surrounding environment .","1"
biology," A phospholipid is a lipid molecule with two fatty acid chains and a phosphate - containing group .","1"
biology," 170 . Typically , the nucleus is the most prominent organelle in a cell ( [ link ] ) .","0"
biology," The nucleus ( plural = nuclei ) houses the cell ’s DNA and directs the synthesis of ribosomes and proteins .","1"
biology," Let ’s look at it in more detail ( [ link ] ) .","0"
biology," 173 . Chromatin and ChromosomesTo understand chromatin , it is helpful to first consider chromosomes .","0"
biology," Chromosomes are structures within the nucleus that are made up of DNA , the hereditary material .","1"
biology," You may remember that in prokaryotes , DNA is organized into a single circular chromosome .","0"
biology," 176 . Ribosomes are the cellular structures responsible for protein synthesis .","1"
biology," When viewed through an electron microscope , ribosomes appear either as clusters ( polyribosomes ) or single , tiny dots that float freely in the cytoplasm .","1"
biology," 185 . If you look at [ link ] b , you will see that plant cells each have a large central vacuole that occupies most of the area of the cell .","0"
biology," The central vacuole plays a key role in regulating the cell ’s concentration of water in changing environmental conditions .","1"
biology," Have you ever noticed that if you forget to water a plant for a few days , it wilts ?","0"
biology," 188 . Intermediate filaments have no role in cell movement .","0"
biology," Their function is purely structural .","0"
biology," 191 . When present , the cell has just one flagellum or a few flagella .","0"
biology," When cilia ( singular = cilium ) are present , however , many of them extend along the entire surface of the plasma membrane .","0"
biology," They are short , hair - like structures that are used to move entire cells ( such as paramecia ) or substances along the outer surface of the cell ( for example , the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus , or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils .","1"
biology," 194 . A tight junction is a watertight seal between two adjacent animal cells ( [ link ] ) .","1"
biology," The cells are held tightly against each other by proteins ( predominantly two proteins called claudins and occludins ) .","0"
biology," Tight junctions form watertight connections between adjacent animal cells .","0"
biology," 197 . The explanation proposed by Singer and Nicolson is called the fluid mosaic model .","0"
biology," The model has evolved somewhat over time , but it still best accounts for the structure and functions of the plasma membrane as we now understand them .","0"
biology," 200 . The hydrophilic or “ water - loving ” areas of these molecules ( which look like a collection of balls in an artist ’s rendition of the model ) ( [ link ] ) are in contact with the aqueous fluid both inside and outside the cell .","1"
biology," Hydrophobic , or water - hating molecules , tend to be non - polar .","0"
biology," They interact with other non - polar molecules in chemical reactions , but generally do not interact with polar molecules .","1"
biology," 203 . Peripheral proteins are found on the exterior and interior surfaces of membranes , attached either to integral proteins or to phospholipids .","1"
biology," Peripheral proteins , along with integral proteins , may serve as enzymes , as structural attachments for the fibers of the cytoskeleton , or as part of the cell ’s recognition sites .","0"
biology," 206 . In passive transport , substances move from an area of higher concentration to an area of lower concentration .","1"
biology," A physical space in which there is a range of concentrations of a single substance is said to have a concentration gradient .","1"
biology," 209 . Facilitated transport","0"
biology," In facilitated transport , also called facilitated diffusion , materials diffuse across the plasma membrane with the help of membrane proteins .","1"
biology," A concentration gradient exists that would allow these materials to diffuse into the cell without expending cellular energy .","0"
biology," 212 . Passage through the channel allows polar compounds to avoid the nonpolar central layer of the plasma membrane that would otherwise slow or prevent their entry into the cell .","0"
biology," Aquaporins are channel proteins that allow water to pass through the membrane at a very high rate .","1"
biology," 215 . Imagine a beaker with a semipermeable membrane separating the two sides or halves ( [ link ] ) .","0"
biology," On both sides of the membrane the water level is the same , but there are different concentrations of a dissolved substance , or solute , that can not cross the membrane ( otherwise the concentrations on each side would be balanced by the solute crossing the membrane ) .","0"
biology," If the volume of the solution on both sides of the membrane is the same , but the concentrations of solute are different , then there are different amounts of water , the solvent , on either side of the membrane .","0"
biology," 218 . Three terms — hypotonic , isotonic , and hypertonic — are used to relate the osmolarity of a cell to the osmolarity of the extracellular fluid that contains the cells .","0"
biology," In a hypotonic situation , the extracellular fluid has lower osmolarity than the fluid inside the cell , and water enters the cell .","1"
biology," ( In living systems , the point of reference is always the cytoplasm , so the prefix hypo- means that the extracellular fluid has a lower concentration of solutes , or a lower osmolarity , than the cell cytoplasm . )","0"
biology," 221 . However , the cell membrane detaches from the wall and constricts the cytoplasm .","1"
biology," This is called plasmolysis .","0"
biology," Plants lose turgor pressure in this condition and wilt ( [ link ] ) .","0"
biology," The turgor pressure within a plant cell depends on the tonicity of the solution that it is bathed in .","0"
biology," 224 . This energy is harvested from ATP generated through the cell ’s metabolism .","0"
biology," Active transport mechanisms , collectively called pumps , work against electrochemical gradients .","1"
biology," Small substances constantly pass through plasma membranes .","0"
biology," 227 . An important membrane adaption for active transport is the presence of specific carrier proteins or pumps to facilitate movement : there are three types of these proteins or transporters ( [ link ] ) .","0"
biology," A uniporter carries one specific ion or molecule .","1"
biology," 230 . A symporter carries two different ions or molecules , both in the same direction .","0"
biology," An antiporter also carries two different ions or molecules , but in different directions .","0"
biology," All of these transporters can also transport small , uncharged organic molecules like glucose .","0"
biology," 233 . In preparation for phagocytosis , a portion of the inward - facing surface of the plasma membrane becomes coated with a protein called clathrin , which stabilizes this section of the membrane .","0"
biology," The coated portion of the membrane then extends from the body of the cell and surrounds the particle , eventually enclosing it .","0"
biology," 236 . A variation of pinocytosis is called potocytosis .","0"
biology," This process uses a coating protein , called caveolin , on the cytoplasmic side of the plasma membrane , which performs a similar function to clathrin .","0"
biology," The cavities in the plasma membrane that form the vacuoles have membrane receptors and lipid rafts in addition to caveolin .","0"
biology," 239 . Scientists use the term bioenergetics to discuss the concept of energy flow ( [ link ] ) through living systems , such as cells .","0"
biology," Cellular processes such as the building and breaking down of complex molecules occur through stepwise chemical reactions .","0"
biology," 242 . The breakdown of sugars illustrates how a single molecule of glucose can store enough energy to make a great deal of ATP , 36 to 38 molecules .","0"
biology," This is a catabolic pathway .","0"
biology," Catabolic pathways involve the degradation ( or breakdown ) of complex molecules into simpler ones .","1"
biology," 245 . The more energy that is lost by a system to its surroundings , the less ordered and more random the system is .","0"
biology," Scientists refer to the measure of randomness or disorder within a system as entropy .","1"
biology," High entropy means high disorder and low energy ( [ link ] ) .","0"
biology," 248 . This is because these bonds can release energy when broken .","0"
biology," The type of potential energy that exists within chemical bonds , and is released when those bonds are broken , is called chemical energy ( [ link ] ) .","1"
biology," Chemical energy is responsible for providing living cells with energy from food .","0"
biology," 251 . A negative ∆G also means that the products of the reaction have less free energy than the reactants , because they gave off some free energy during the reaction .","0"
biology," Reactions that have a negative ∆G and consequently release free energy are called exergonic reactions .","1"
biology," Think : exergonic means energy is exiting the system .","1"
biology," 254 . A small energy input is required to achieve this contorted state .","0"
biology," This contorted state is called the transition state , and it is a high - energy , unstable state .","0"
biology," For this reason , reactant molecules do n’t last long in their transition state , but very quickly proceed to the next steps of the chemical reaction .","0"
biology," 257 . However , not all bonds within this molecule exist in a particularly high - energy state .","0"
biology," Both bonds that link the phosphates are equally high - energy bonds ( phosphoanhydride bonds ) that , when broken , release sufficient energy to power a variety of cellular reactions and processes .","1"
biology," These high - energy bonds are the bonds between the second and third ( or beta and gamma ) phosphate groups and between the first and second phosphate groups .","0"
biology," 260 . However , increasing or decreasing the temperature outside of an optimal range can affect chemical bonds within the active site in such a way that they are less well suited to bind substrates .","0"
biology," High temperatures will eventually cause enzymes , like other biological molecules , to denature , a process that changes the natural properties of a substance .","1"
biology," Likewise , the pH of the local environment can also affect enzyme function .","0"
biology," 263 . Some inhibitor molecules bind to enzymes in a location where their binding induces a conformational change that reduces the affinity of the enzyme for its substrate .","1"
biology," This type of inhibition is called allosteric inhibition ( [ link ] ) .","0"
biology," Most allosterically regulated enzymes are made up of more than one polypeptide , meaning that they have more than one protein subunit .","0"
biology," 266 . An oxidation reaction strips an electron from an atom in a compound , and the addition of this electron to another compound is a reduction reaction .","1"
biology," Because oxidation and reduction usually occur together , these pairs of reactions are called oxidation reduction reactions , or redox reactions . Electrons and Energy","0"
biology," 269 . A phosphate group is removed from an intermediate reactant in the pathway , and the free energy of the reaction is used to add the third phosphate to an available ADP molecule , producing ATP ( [ link ] ) .","1"
biology," This very direct method of phosphorylation is called substrate - level phosphorylation .","0"
biology," 272 . You have read that nearly all of the energy used by living cells comes to them in the bonds of the sugar , glucose .","0"
biology," Glycolysis is the first step in the breakdown of glucose to extract energy for cellular metabolism .","1"
biology," Nearly all living organisms carry out glycolysis as part of their metabolism .","0"
biology," 275 . In the second step of glycolysis , an isomerase converts glucose-6-phosphate into one of its isomers , fructose-6-phosphate .","0"
biology," An isomerase is an enzyme that catalyzes the conversion of a molecule into one of its isomers .","1"
biology," ( This change from phosphoglucose to phosphofructose allows the eventual split of the sugar into two three - carbon molecules .","0"
biology," 278 . In the presence of oxygen , acetyl CoA delivers its acetyl group to a four - carbon molecule , oxaloacetate , to form citrate , a six - carbon molecule with three carboxyl groups ; this pathway will harvest the remainder of the extractable energy from what began as a glucose molecule .","1"
biology," This single pathway is called by different names : the citric acid cycle ( for the first intermediate formed — citric acid , or citrate — when acetate joins to the oxaloacetate ) , the TCA cycle ( since citric acid or citrate and isocitrate are tricarboxylic acids ) , and the Krebs cycle , after Hans Krebs , who first identified the steps in the pathway in the 1930s in pigeon flight muscles .","0"
biology," 281 . The rough endoplasmic reticulum ( RER ) is so named because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewed through an electron microscope ( [ link ] ) .","0"
biology," 284 . FMN , which is derived from vitamin B2 , also called riboflavin , is one of several prosthetic groups or co - factors in the electron transport chain .","0"
biology," A prosthetic group is a non - protein molecule required for the activity of a protein .","1"
biology," Prosthetic groups are organic or inorganic , non - peptide molecules bound to a protein that facilitate its function ; prosthetic groups include co - enzymes , which are the prosthetic groups of enzymes .","1"
biology," 287 . Some living systems use an organic molecule as the final electron acceptor .","0"
biology," Processes that use an organic molecule to regenerate NAD+ from NADH are collectively referred to as fermentation .","1"
biology," In contrast , some living systems use an inorganic molecule as a final electron acceptor .","0"
biology," 290 . Because they use light to manufacture their own food , they are called photoautotrophs ( literally , “ self - feeders using light ” ) .","1"
biology," Other organisms , such as animals , fungi , and most other bacteria , are termed heterotrophs ( “ other feeders ” ) , because they must rely on the sugars produced by photosynthetic organisms for their energy needs .","1"
biology," A third very interesting group of bacteria synthesize sugars , not by using sunlight ’s energy , but by extracting energy from inorganic chemical compounds ; hence , they are referred to as chemoautotrophs .","1"
biology," 293 . The process of photosynthesis occurs in a middle layer called the mesophyll .","0"
biology," The gas exchange of carbon dioxide and oxygen occurs through small , regulated openings called stomata ( singular : stoma ) , which also play roles in the regulation of gas exchange and water balance .","1"
biology," The stomata are typically located on the underside of the leaf , which helps to minimize water loss .","0"
biology," 296 . Within the chloroplast are stacked , disc - shaped structures called thylakoids .","0"
biology," Embedded in the thylakoid membrane is chlorophyll , a pigment ( molecule that absorbs light ) responsible for the initial interaction between light and plant material , and numerous proteins that make up the electron transport chain .","1"
biology," The thylakoid membrane encloses an internal space called the thylakoid lumen .","0"
biology," 299 . Photosynthesis takes place in two sequential stages : the light - dependent reactions and the light independent - reactions .","0"
biology," In the light - dependent reactions , energy from sunlight is absorbed by chlorophyll and that energy is converted into stored chemical energy .","1"
biology," In the light - independent reactions , the chemical energy harvested during the light - dependent reactions drive the assembly of sugar molecules from carbon dioxide .","1"
biology," 302 . Scientists differentiate the various types of radiant energy from the sun within the electromagnetic spectrum .","0"
biology," The electromagnetic spectrum is the range of all possible frequencies of radiation ( [ link ] ) .","1"
biology," The difference between wavelengths relates to the amount of energy carried by them .","0"
biology," 305 . Each type of pigment can be identified by the specific pattern of wavelengths it absorbs from visible light , which is the absorption spectrum .","1"
biology," The graph in [ link ] shows the absorption spectra for chlorophyll a , chlorophyll b , and a type of carotenoid pigment called β - carotene ( which absorbs blue and green light ) .","1"
biology," 308 . Both photosystems have the same basic structure ; a number of antenna proteins to which the chlorophyll molecules are bound surround the reaction center where the photochemistry takes place .","0"
biology," Each photosystem is serviced by the light - harvesting complex , which passes energy from sunlight to the reaction center ; it consists of multiple antenna proteins that contain a mixture of 300 – 400 chlorophyll a and b molecules as well as other pigments like carotenoids .","1"
biology," 311 . The reaction center contains a pair of chlorophyll a molecules with a special property .","0"
biology," Those two chlorophylls can undergo oxidation upon excitation ; they can actually give up an electron in a process called a photoact .","0"
biology," It is at this step in the reaction center , this step in photosynthesis , that light energy is converted into an excited electron .","0"
biology," 314 . Because the electrons have lost energy prior to their arrival at PSI , they must be re - energized by PSI , hence , another photon is absorbed by the PSI antenna .","0"
biology," That energy is relayed to the PSI reaction center ( called P700 ) .","1"
biology," P700 is oxidized and sends a high - energy electron to NADP+ to form NADPH .","0"
biology," 317 . That is a reduction reaction because it involves the gain of electrons by 3-PGA .","0"
biology," Recall that a reduction is the gain of an electron by an atom or molecule .","1"
biology," Six molecules of both ATP and NADPH are used .","0"
biology," 320 . An easy way to remember the distinction is by understanding the Latin origin of the prefixes : inter- means "" between "" ( for example , intersecting lines are those that cross each other ) and intra- means "" inside "" ( like intravenous ) .","0"
biology," Chemical signals are released by signaling cells in the form of small , usually volatile or soluble molecules called ligands .","0"
biology," A ligand is a molecule that binds another specific molecule , in some cases , delivering a signal in the process .","1"
biology," Ligands can thus be thought of as signaling molecules .","0"
biology," 323 . The junction between nerve cells where signal transmission occurs is called a synapse .","1"
biology," A synaptic signal is a chemical signal that travels between nerve cells .","1"
biology," Signals within the nerve cells are propagated by fast - moving electrical impulses .","0"
biology," 326 . Signals from distant cells are called endocrine signals , and they originate from endocrine cells .","1"
biology," ( In the body , many endocrine cells are located in endocrine glands , such as the thyroid gland , the hypothalamus , and the pituitary gland . )","0"
biology," 329 . Internal receptors , also known as intracellular or cytoplasmic receptors , are found in the cytoplasm of the cell and respond to hydrophobic ligand molecules that are able to travel across the plasma membrane .","1"
biology," Once inside the cell , many of these molecules bind to proteins that act as regulators of mRNA synthesis ( transcription ) to mediate gene expression .","0"
biology," 332 . Ion channel - linked receptors bind a ligand and open a channel through the membrane that allows specific ions to pass through .","1"
biology," To form a channel , this type of cell - surface receptor has an extensive membrane - spanning region .","0"
biology," 335 . Once a ligand binds to a receptor , the signal is transmitted through the membrane and into the cytoplasm .","1"
biology," Continuation of a signal in this manner is called signal transduction .","0"
biology," Signal transduction only occurs with cell - surface receptors because internal receptors are able to interact directly with DNA in the nucleus to initiate protein synthesis .","0"
biology," 338 . After the ligand binds to the cell - surface receptor , the activation of the receptor ’s intracellular components sets off a chain of events that is called a signaling pathway or a signaling cascade .","0"
biology," In a signaling pathway , second messengers , enzymes , and activated proteins interact with specific proteins , which are in turn activated in a chain reaction that eventually leads to a change in the cell ’s environment ( [ link ] ) .","1"
biology," 341 . Second messengers are small molecules that propagate a signal after it has been initiated by the binding of the signaling molecule to the receptor .","1"
biology," These molecules help to spread a signal through the cytoplasm by altering the behavior of certain cellular proteins .","0"
biology," 344 . Present in small concentrations in the plasma membrane , inositol phospholipids are lipids that can also be converted into second messengers .","1"
biology," Because these molecules are membrane components , they are located near membrane - bound receptors and can easily interact with them .","0"
biology," 347 . Cells do not normally divide unless they are stimulated by signals from other cells .","0"
biology," The ligands that promote cell growth are called growth factors .","1"
biology," Most growth factors bind to cell - surface receptors that are linked to tyrosine kinases .","0"
biology," 350 . For example , phosphatases are enzymes that remove the phosphate group attached to proteins by kinases in a process called dephosphorylation .","1"
biology," Cyclic AMP ( cAMP ) is degraded into AMP by phosphodiesterase , and the release of calcium stores is reversed by the Ca2 + pumps that are located in the external and internal membranes of the cell .","0"
biology," 353 . Quorum sensing uses autoinducers as signaling molecules .","0"
biology," Autoinducers are signaling molecules secreted by bacteria to communicate with other bacteria of the same kind .","1"
biology," The secreted autoinducers can be small , hydrophobic molecules such as acyl - homoserine lactone , ( AHL ) or larger peptide - based molecules ; each type of molecule has a different mode of action .","0"
biology," 356 . Each species of eukaryotes has a characteristic number of chromosomes in the nuclei of its cells .","0"
biology," Human body cells have 46 chromosomes , while human gametes ( sperm or eggs ) have 23 chromosomes each .","0"
biology," A typical body cell , or somatic cell , contains two matched sets of chromosomes , a configuration known as diploid .","1"
biology," 359 . Matched pairs of chromosomes in a diploid organism are called homologous ( “ same knowledge ” ) chromosomes . Homologous chromosomes are the same length and have specific nucleotide segments called genes in exactly the same location , or locus .","1"
biology," 362 . The DNA - histone complex is called chromatin .","1"
biology," The beadlike , histone DNA complex is called a nucleosome , and DNA connecting the nucleosomes is called linker DNA .","1"
